PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species,Strain/Sex,Route,Dose,Tumor Site: Type of Lesion,Results,Reference
1214,363898160,9119,C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2C6=CC=CC=C6C5=CC=C4,Active,,,,Mouse,B6129SF1/J v 129S1/SvImJ crosses,Transplacental,15 mg/kg bw in corn oil to dams on day 18 of gestation; study duration 10 months,Lung and liver tumors,Positive,"[YU,Z LOEHR,CV FISCHER,KA LOUDERBACK,MA KRUEGER,SK DASHWOOD,RH KERKVLIET,NI PEREIRA,CB JENNINGS-GEE,JE DANCE,ST MILLER,MS BAILEY,GS AND WILLIAMS,DE; IN UTERO EXPOSURE OF LICE TO DIBENZO[A,L]PYRENE PRODUCES LYMPHOME IN THE OFFSPRING: ROLE OF THE ARYL HYDROCARBON RECEPTOR; CANCER RESEARCH 66(2):755-762, 2006]"
1215,363898161,9216,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 5000; 10000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-122 Y79]"
1216,363898161,9216,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 5000; 10000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-122 Y79]"
1217,363898161,9216,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,ORAL,0; 5000; 10000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-122 Y79]"
1218,363898161,9216,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,ORAL,0; 5000; 10000 PPM IN DIET,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-122 Y79]"
1219,363898162,9126,C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC=CC(=C64)C=C3,Active,,,,MOUSE,,SUBCUTANEOUS,,INJECTION SITE,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 201 Y73]"
1220,363898162,9126,C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC=CC(=C64)C=C3,Active,,,,MOUSE,,DERMAL,,INTEGUMENTARY SYSTEM (SKIN),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 201 Y73]"
1221,363898163,9108,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,Active,,,,MOUSE,,SUBCUTANEOUS,,INJECTION SITE,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 207 Y73]"
1222,363898163,9108,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,Active,,,,MOUSE,,DERMAL,,INTEGUMENTARY SYSTEM (SKIN),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 207 Y73]"
1223,363898164,9106,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3,Active,,,,HAMSTER,,SUBCUTANEOUS,,INJECTION SITE,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 215 Y73]"
1224,363898164,9106,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3,Active,,,,MOUSE,,SUBCUTANEOUS,,INJECTION SITE,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 215 Y73]"
1225,363898164,9106,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3,Active,,,,MOUSE,,DERMAL,,INTEGUMENTARY SYSTEM (SKIN),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V3 215 Y73]"
1226,363898165,7280,C(C(CBr)Br)Cl,Active,,,,MOUSE,B6C3F1/FEMALE,INHALATION,"0; 0.6; 3.0 PPM 6 HR/D, 5 D/WK FOR 76-103 WK","NASAL CAVITY: CARCINOMA (NOS), SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL CARCINOMA OR SQUAMOUS CELL PAPILLOMA, ADENOCARCINOMA (NOS); LUNG: BRONCHIOLAR PAPILLARY CARCINOMA, ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-206 Y82]"
1227,363898165,7280,C(C(CBr)Br)Cl,Active,,,,MOUSE,B6C3F1/FEMALE,GAVAGE,"0; 110; 209 MG/KG, TWA",STOMACH: SQUAMOUS CELL CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-28 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V15 139 Y77]"
1228,363898165,7280,C(C(CBr)Br)Cl,Active,,,,MOUSE,B6C3F1/MALE,INHALATION,"0; 0.6; 3.0 PPM 6 HR/D, 5 D/WK FOR 76 WK","NASAL CAVITY: CARCINOMA (NOS), SQUAMOUS CELL CARCINOMA, ADENOMATOUS POLYP (NOS); LUNG: ALVEOLAR/BRONCHIOLAR ADENOMA, ALVEOLAR/BRONCHIOLAR ADENOMA OR CARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-206 Y82]"
1229,363898165,7280,C(C(CBr)Br)Cl,Active,,,,MOUSE,B6C3F1/MALE,GAVAGE,"0; 114; 219 MG/KG, TWA",STOMACH: SQUAMOUS CELL CARCINOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-28 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V15 139 Y77]"
1230,363898165,7280,C(C(CBr)Br)Cl,Active,,,,RAT,F344/FEMALE,INHALATION,"0; 0.6; 3.0 PPM 6 HR/D, 5 D/WK FOR 84-103 WK","NASAL CAVITY: ADENOMATOUS POLYP (NOS), ADENOMA (NOS), SQUAMOUS CELL PAPILLOMA, CARCINOMA (NOS), ADENOCARCINOMA (NOS); NASAL TURBINATES: ADENOMATOUS POLYP (NOS); TONGUE: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL PAPILLOMA OR SQUAMOUS CELL CARCINOMA; PHARYNX: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL PAPILLOMA OR SQUAMOUS CELL CARCINOMA; ADRENAL GLAND: CORTICAL ADENOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-206 Y82]"
1231,363898165,7280,C(C(CBr)Br)Cl,Active,,,,RAT,F344/MALE,INHALATION,"0; 0.6; 3.0 PPM 6 HR/D, 5 D/WK FOR 84-103 WK","NASAL CAVITY: ADENOMATOUS POLYP (NOS), ADENOMA (NOS), SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL CARCINOMA, CARCINOMA (NOS), ADENOCARCINOMA (NOS); NASAL TURBINATES: ADENOMATOUS POLYP; TONGUE: SQUAMOUS CELL PAPILLOMA, SQUAMOUS CELL PAPILLOMA OR SQUAMOUS CELL CARCINOMA; TUNICA VAGINALIS: MESOTHELIOMA (NOS)",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-206 Y82]"
1232,363898165,7280,C(C(CBr)Br)Cl,Active,,,,RAT,OSBORNE-MENDEL/FEMALE,GAVAGE,"0; 15; 29 MG/KG, TWA","STOMACH: SQUAMOUS CELL CARCINOMA, SQUAMOUS CELL PAPILLOMA; MAMMARY GLAND: ADENOCARCINOMA",POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-28 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V15 139 Y77]"
1233,363898165,7280,C(C(CBr)Br)Cl,Active,,,,RAT,OSBORNE-MENDEL/MALE,GAVAGE,"0; 15; 29 MG/KG, TWA",STOMACH: SQUAMOUS CELL CARCINOMA; MULTIPLE SITES: HEMANGIOSARCOMA OR HEMANGIOMA,POSITIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-28 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V15 139 Y77]"
1234,363898166,154903,C1=CC2=C(C=C(C=C2Br)Br)N=C1,Inactive,,,,RAT,F344/FEMALE,ORAL,0.1% IN DIET FOR 2 YR,,NEGATIVE,"[FUKUSHIMA,S, ISHIHARA,Y, NISHIO,O, OGISO,T, SHIRAI,T AND ITO,N; CARCINOGENITIES  OF QUINOLINE DERIVATIVES IN F344 RATS; CANCER LETT. 14:115-123, 1981]"
1235,363898167,13542,CCCCN(CCCC)N=O,Active,,,,GUINEA PIG,,ORAL,,LIVER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1236,363898167,13542,CCCCN(CCCC)N=O,Active,,,,HAMSTER,,GAVAGE,,LUNG; RESPIRATORY TRACT; TRACHEA; FORESTOMACH,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1237,363898167,13542,CCCCN(CCCC)N=O,Active,,,,HAMSTER,,INTRAPERITONEAL,,RESPIRATORY TRACT,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1238,363898167,13542,CCCCN(CCCC)N=O,Active,,,,HAMSTER,,SUBCUTANEOUS,,TRACHEA; URINARY BLADDER; FORESTOMACH; RESPIRATORY TRACT,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1239,363898167,13542,CCCCN(CCCC)N=O,Active,,,,MOUSE,,ORAL,,ESOPHAGUS; FORESTOMACH; LIVER; URINARY BLADDER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1240,363898167,13542,CCCCN(CCCC)N=O,Active,,,,MOUSE,,INTRAVENOUS,,HEMATOPOIETIC SYSTEM (LEUKEMIA),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1241,363898167,13542,CCCCN(CCCC)N=O,Active,,,,MOUSE,,SUBCUTANEOUS,,URINARY BLADDER; LUNG,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1242,363898167,13542,CCCCN(CCCC)N=O,Active,,,,RABBIT,,SUBCUTANEOUS,,URINARY BLADDER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1243,363898167,13542,CCCCN(CCCC)N=O,Active,,,,RAT,,ORAL,,ESOPHAGUS; LIVER; URINARY BLADDER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1244,363898167,13542,CCCCN(CCCC)N=O,Active,,,,RAT,,SUBCUTANEOUS,,URINARY BLADDER; LUNG,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V17 51 Y78][IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 197 Y74]"
1245,363898168,16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,"0; 76; 152 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-183 Y79]"
1246,363898168,16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,"0; 76; 152 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-183 Y79]"
1247,363898168,16682740,CCCC[Sn](CCCC)(OC(=O)C)OC(=O)C,Inactive,,,,RAT,F344/MALE,ORAL,"0; 66.5; 133 PPM IN DIET, TWA",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-183 Y79]"
1248,363898169,5284443,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,Inactive,,,,RAT,F344/MALE,ORAL,0; 620; 1250 PPM IN DIET FOR 103 WK,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-322 Y87]"
1249,363898169,5284443,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,Inactive,,,,RAT,F344/FEMALE,ORAL,0; 620; 1250 PPM IN DIET FOR 103 WK,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-322 Y87]"
1250,363898169,5284443,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,Inactive,,,,MOUSE,B6C3F1/MALE,ORAL,0; 1250; 2500 PPM IN DIET FOR 103 WK,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-322 Y87]"
1251,363898169,5284443,CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,0; 1250; 2500 PPM IN DIET FOR 103 WK,,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-322 Y87]"
1252,363898170,7070,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,Active,,,,HAMSTER,,ORAL,,URINARY BLADDER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 49 Y74]"
1253,363898170,7070,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,Active,,,,RAT,,ORAL,,EAR (ZYMBAL GLAND); MAMMARY GLAND; INTEGUMENTARY SYSTEM (SKIN); HEMATOPOIETIC SYSTEM; URINARY BLADDER,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 49 Y74]"
1254,363898170,7070,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,Active,,,,RAT,,SUBCUTANEOUS,,MAMMARY GLAND; INTEGUMENTARY SYSTEM (SKIN),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V4 49 Y74]"
1255,363898171,,,Active,,,,MOUSE,STRAIN-A/FEMALE,INTRAPERITONEAL,54; 103; 108 UMOL/KG (TOTAL DOSES) IN NACL OR TRIOCTANOIN,LUNG: ADENOMA,POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V26 151 Y81]"
1256,363898171,,,Active,,,,RAT,"F344/MALE, FEMALE",TRANSPLACENTAL,0; 5 MG/KG BW GIVEN INTRAPERITONEALLY TO FEMALE RATS ON DAY 18 OF GESTATION AND OFFSPRING OBSERVED TO 79 WK OF AGE (STUDY DURATION: 79 WK),LIVER: HEPATOCELLULAR ADENOMA,POSITIVE,"[DIWAN,BA, ANDERSON,LM, WARD,JM, HENNEMAN,JR AND RICE,JM; TRANSPLACENTAL CARCINOGENESIS BY CISPLATIN IN F344/NCR RATS: PROMOTION OF KIDNEY TUMORS BY POSTNATAL ADMINISTRATION OF SODIUM BARBITAL; TOXICOL. APPL. PHARMACOL. 132(1): 115-121, 1995]"
1257,363898172,34239,C1=CC(=C(C=C1OC2=CC(=C(C=C2)N)Cl)Cl)N,Active,,,,RAT,,SUBCUTANEOUS,,EAR (CANAL),POSITIVE,"[IARC MONOGRAPHS ON THE EVALUATION OF THE CARCINOGENIC RISK OF CHEMICALS TO HUMANS, INTERNATIONAL AGENCY FOR RESEARCH ON CANCER, LYON, FRANCE, p. V16 309 Y78]"
1258,363898173,36613,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,Inactive,,,,MOUSE,B6C3F1/FEMALE,ORAL,"0; 5,000; 10,000 PPM IN DIET FOR 90 WK (STUDY DURATION: 91-98 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-123 Y79]"
1259,363898173,36613,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/FEMALE,ORAL,"0; 5,000; 10,000 PPM IN DIET FOR 110 WK (STUDY DURATION: 110-117 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-123 Y79]"
1260,363898173,36613,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,ORAL,"0; 5,000; 10,000 PPM IN DIET FOR 110 WK (STUDY DURATION: 110-112 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-123 Y79]"
1261,363898173,36613,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,Unspecified,,,,MOUSE,B6C3F1/MALE,ORAL,0; 5000; 10000 PPM IN DIET FOR 90 WK (STUDY DURATION: 92-101 WK),LIVER: HEPTOCELLULAR ADENOMA OR CARCINOMA; HEMATOPOIETIC SYSTEM: LYMPHOMA OR LEUKEMIA; SPLEEN: HEMANGIOMA OR HEMANGIOSARCOMA,EQUIVOCAL,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-123 Y79]"
1262,363898174,6365,CC(Cl)Cl,Inactive,,,,MOUSE,B6C3F1/MALE,GAVAGE,"0; 1,442; 2,885 MG/KG 5/WK FOR 78 WK (STUDY DURATION: 91 WK)",,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-66 Y78]"
1263,363898174,6365,CC(Cl)Cl,Inactive,,,,RAT,OSBORNE-MENDEL/MALE,GAVAGE,0; 382; 764 MG/KG 5/WK FOR 78 WK (STUDY DURATION: 111 WK),,NEGATIVE,"[NCI/NTP CARCINOGENESIS TECHNICAL REPORT SERIES; NATIONAL CANCER INSTITUTE/NATIONAL TOXICOLOGY PROGRAM; U.S. DEPARTMENT OF HEALTH AND HUMAN SERVICES, TR-66 Y78]"
